,radius_lower,radius_upper,period_lower,period_upper,occurrence,+sigma,-sigma
79,0.75,1.0,32.0,64.0,0.0409999999999999,0.04,-0.023
80,1.0,1.25,32.0,64.0,0.06,0.027,-0.025
81,1.25,1.5,32.0,64.0,0.0095,0.0113,-0.0063
82,1.5,1.75,32.0,64.0,0.0144,0.0111,-0.0069999999999999
83,1.75,2.0,32.0,64.0,0.023,0.011,-0.012
84,2.0,2.5,32.0,64.0,0.05,0.015,-0.012
85,2.5,3.0,32.0,64.0,0.066,0.0139999999999999,-0.013
86,3.0,4.0,32.0,64.0,0.0207,0.009,-0.0076
87,4.0,6.0,32.0,64.0,0.0046,0.0031,-0.0026
88,6.0,8.0,32.0,64.0,0.005,0.003,-0.0025
89,8.0,12.0,32.0,64.0,0.0028,0.0027,-0.0017
90,12.0,16.0,32.0,64.0,0.0057,0.0028,-0.0019
91,0.5,0.75,64.0,128.0,0.4650000000000001,0.4650000000000001,-0.4650000000000001
92,0.75,1.0,64.0,128.0,0.11,0.11,-0.11
93,1.0,1.25,64.0,128.0,0.098,0.063,-0.049
94,1.25,1.5,64.0,128.0,0.018,0.02,-0.013
95,1.5,1.75,64.0,128.0,0.0279999999999999,0.023,-0.018
96,1.75,2.0,64.0,128.0,0.02,0.018,-0.012
97,2.0,2.5,64.0,128.0,0.062,0.021,-0.019
98,2.5,3.0,64.0,128.0,0.039,0.0139999999999999,-0.017
99,3.0,4.0,64.0,128.0,0.036,0.013,-0.011
100,4.0,6.0,64.0,128.0,0.0148,0.0062,-0.0066
101,6.0,8.0,64.0,128.0,0.0048,0.0038,-0.0029
102,8.0,12.0,64.0,128.0,0.0086,0.0043,-0.0043
103,12.0,16.0,64.0,128.0,0.0049,0.0043,-0.0033
104,0.5,0.75,128.0,256.0,0.455,0.455,-0.455
105,0.75,1.0,128.0,256.0,0.265,0.265,-0.265
106,1.0,1.25,128.0,256.0,0.1,0.1,-0.1
107,1.25,1.5,128.0,256.0,0.049,0.049,-0.049
108,1.5,1.75,128.0,256.0,0.039,0.02,-0.024
109,1.75,2.0,128.0,256.0,0.025,0.024,-0.02
110,2.0,2.5,128.0,256.0,0.062,0.026,-0.0289999999999999
111,2.5,3.0,128.0,256.0,0.075,0.024,-0.021
112,3.0,4.0,128.0,256.0,0.03,0.019,-0.017
113,4.0,6.0,128.0,256.0,0.0105,0.0074,-0.0054
114,6.0,8.0,128.0,256.0,0.0099,0.0093,-0.0039
115,8.0,12.0,128.0,256.0,0.0209,0.0096,-0.008
116,12.0,16.0,128.0,256.0,0.00395,0.00395,-0.00395
117,0.5,0.75,256.0,500.0,0.395,0.395,-0.395
118,0.75,1.0,256.0,500.0,0.3,0.3,-0.3
119,1.0,1.25,256.0,500.0,0.175,0.175,-0.175
120,1.25,1.5,256.0,500.0,0.1149999999999999,0.1149999999999999,-0.1149999999999999
121,1.5,1.75,256.0,500.0,0.166,0.119,-0.096
122,1.75,2.0,256.0,500.0,0.159,0.102,-0.083
123,2.0,2.5,256.0,500.0,0.059,0.054,-0.036
124,2.5,3.0,256.0,500.0,0.1,0.059,-0.038
125,3.0,4.0,256.0,500.0,0.034,0.024,-0.02
126,4.0,6.0,256.0,500.0,0.032,0.015,-0.015
127,6.0,8.0,256.0,500.0,0.011,0.011,-0.011
128,8.0,12.0,256.0,500.0,0.021,0.015,-0.011
129,12.0,16.0,256.0,500.0,0.01,0.01,-0.01
130,0.0,0.5,256.0,500.0,0.395,0.395,-0.395
